actor_id,actor_name,drama_name,character_name,role
96612cd9-183e-4530-9e0d-d85322e6ec4c,Jang Do Yoon,Sing My Crush,Han Ba Ram,Main Role
96612cd9-183e-4530-9e0d-d85322e6ec4c,Jang Do Yoon,Finland Papa,Toto / Seung Yoon,Support Role
96612cd9-183e-4530-9e0d-d85322e6ec4c,Jang Do Yoon,My Sweet Dear,Ye Jun,Support Role
96612cd9-183e-4530-9e0d-d85322e6ec4c,Jang Do Yoon,Lemon Car Video,Jang Do Yoon (Ep. 1),Main Role
b5f2eca0-6e6b-474d-88ad-46f4feaa0a8e,Son Hyun Woo,Sing My Crush,Im Han Tae,Main Role
b5f2eca0-6e6b-474d-88ad-46f4feaa0a8e,Son Hyun Woo,Dear X Who Doesn't Love Me,Kim Gang Wook,Support Role
b5f2eca0-6e6b-474d-88ad-46f4feaa0a8e,Son Hyun Woo,Mood Maker,Himself,Support Role
b5f2eca0-6e6b-474d-88ad-46f4feaa0a8e,Son Hyun Woo,Room of Romance,Son Hyun Woo,Main Role
16dd9bf1-d058-43ed-ba75-330958c9a661,Bang Yoo In,Sing My Crush,Young Mi,Support Role
16dd9bf1-d058-43ed-ba75-330958c9a661,Bang Yoo In,Riding Dongdang,Kang I Jeong,Support Role
16dd9bf1-d058-43ed-ba75-330958c9a661,Bang Yoo In,Tutorial,I Je,Support Role
16dd9bf1-d058-43ed-ba75-330958c9a661,Bang Yoo In,Secret Crushes Season 3,Bang Yoo In,Main Role
9ac910e0-0e31-4c09-b5a7-c841dcadffa4,Koo Ja Keon,Sing My Crush,Jeong Pal,Support Role
9ac910e0-0e31-4c09-b5a7-c841dcadffa4,Koo Ja Keon,Pure Melo District,Kim Sung Hoon,Support Role
9ac910e0-0e31-4c09-b5a7-c841dcadffa4,Koo Ja Keon,Kiss Scene in Yeonnamdong,Ha Tae Sung,Support Role
9ac910e0-0e31-4c09-b5a7-c841dcadffa4,Koo Ja Keon,All-Boys High,Oh Seung Woo,Support Role
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,D.P. Season 2,Ahn Joon Ho,Main Role
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,Snowdrop,Im Soo Ho / Rim Tae San,Main Role
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,D.P.,Ahn Joon Ho,Main Role
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,A Piece of Your Mind,Moon Ha Won,Main Role
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,One Spring Night,Yoo Ji Ho,Main Role
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,Something in the Rain,Seo Joon Hee,Main Role
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,While You Were Sleeping,Han Woo Tak,Main Role
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,Night Light,Tak [Yi Kyung's bodyguard],Support Role
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,Blood,Joo Hyun Woo [Ji Sang's friend],Support Role
8ec8cb67-6de5-40a0-872e-a8e5c5bd49e7,Koo Kyo Hwan,D.P. Season 2,Han Ho Yul,Main Role
8ec8cb67-6de5-40a0-872e-a8e5c5bd49e7,Koo Kyo Hwan,One Day Off,Lee Chang Jin,Guest Role
8ec8cb67-6de5-40a0-872e-a8e5c5bd49e7,Koo Kyo Hwan,Monstrous,Jung Ki Hoon,Main Role
8ec8cb67-6de5-40a0-872e-a8e5c5bd49e7,Koo Kyo Hwan,D.P.,Han Ho Yul,Main Role
9af0aaf1-102b-4b4c-babd-cdbb91fd61f7,Kim Sung Kyun,D.P. Season 2,Park Bum Goo,Main Role
9af0aaf1-102b-4b4c-babd-cdbb91fd61f7,Kim Sung Kyun,Divorce Attorney Shin,Jang Hyung Geun,Main Role
9af0aaf1-102b-4b4c-babd-cdbb91fd61f7,Kim Sung Kyun,Grid,Kim Ma Nok,Main Role
9af0aaf1-102b-4b4c-babd-cdbb91fd61f7,Kim Sung Kyun,D.P.,Park Bum Goo,Main Role
9af0aaf1-102b-4b4c-babd-cdbb91fd61f7,Kim Sung Kyun,The Fiery Priest,Goo Dae Young,Main Role
